+1 44:0.0086009150439 57:0.0137396204625 109:0.0106562615411 157:0.0102340514676 174:0.011932405954 280:0.0187161878939 346:0.00242693972266 608:0.00148399991903 734:0.011165751251 1152:0.0100413664713 1469:0.00318019650535 1716:0.0123696276381 2053:0.00624244615845 2076:0.002971071932 2344:0.00419777146954 2501:0.010212424443 2644:0.00776457559987 2930:0.0121344146368 3046:0.0117784250984 3106:0.0104265952033 3452:0.00119538206461 3530:0.0107768763383 3884:0.0028980892595 3916:0.0113970154197 3966:0.0136180124893 3994:0.00298076461333 4224:0.00795593250484 4228:0.0111333865694 4304:0.0070309614361 4638:0.0305890101456 4997:0.00639463830326 5070:0.0124253359278 5146:0.01326718334 5399:0.00192555665589 5415:0.00753530500856 5530:0.00616072353257 5542:0.0127954110352 5974:0.0130169605801 6023:0.0107090881068 6059:0.0135944445453 6067:0.00812963548912 6085:0.000288740421822 6513:0.00236472757661 7225:0.0280110488477 7285:0.0271709745032 7571:0.00806955744215 7573:0.0132469377958 7663:0.00991502553169 7809:0.018770586635 7908:0.0137396204625 7967:0.00516053455759 8396:0.0116744320402 8544:0.0109334470938 9044:0.00235701180303 9336:0.00969457677548 9412:0.00187927112241 9784:0.00897388896134 10092:0.00787132584956 10111:0.00992318111354 10152:0.0135480216653 10340:0.0136902023341 10382:0.00317013227875 10400:0.0114702600079 10481:0.00726335161922 10513:0.00410635688354 10521:0.00410070224759 10618:0.00948899591888 10944:0.010804561666 10972:0.00391177070479 11025:0.00488670366634 11092:0.00862775944268 11183:0.0121719825755 11806:0.00369484349287 11878:0.0130047235674 11889:0.0200528582406 12054:1.13769248756e-06 12080:0.0097202138768
+1 44:0.0086009150439 57:0.0137396204625 109:0.0106562615411 157:0.0102340514676 174:0.011932405954 280:0.0187161878939 346:0.00242693972266 608:0.00148399991903 734:0.011165751251 1152:0.0100413664713 1469:0.00318019650535 1716:0.0123696276381 2053:0.00624244615845 2076:0.002971071932 2344:0.00419777146954 2501:0.010212424443 2644:0.00776457559987 2930:0.0121344146368 3046:0.0117784250984 3106:0.0104265952033 3452:0.00119538206461 3530:0.0107768763383 3884:0.0028980892595 3916:0.0113970154197 3966:0.0136180124893 3994:0.00298076461333 4224:0.00795593250484 4228:0.0111333865694 4304:0.0070309614361 4638:0.0305890101456 4997:0.00639463830326 5070:0.0124253359278 5146:0.01326718334 5399:0.00192555665589 5415:0.00753530500856 5530:0.00616072353257 5542:0.0127954110352 5974:0.0130169605801 6023:0.0107090881068 6059:0.0135944445453 6067:0.00812963548912 6085:0.000288740421822 6513:0.00236472757661 7225:0.0280110488477 7285:0.0271709745032 7571:0.00806955744215 7573:0.0132469377958 7663:0.00991502553169 7809:0.018770586635 7908:0.0137396204625 7967:0.00516053455759 8396:0.0116744320402 8544:0.0109334470938 9044:0.00235701180303 9336:0.00969457677548 9412:0.00187927112241 9784:0.00897388896134 10092:0.00787132584956 10111:0.00992318111354 10152:0.0135480216653 10340:0.0136902023341 10382:0.00317013227875 10400:0.0114702600079 10481:0.00726335161922 10513:0.00410635688354 10521:0.00410070224759 10618:0.00948899591888 10944:0.010804561666 10972:0.00391177070479 11025:0.00488670366634 11092:0.00862775944268 11183:0.0121719825755 11740:0.0236644829572 11806:0.00369484349287 11878:0.0130047235674 12054:1.13769248756e-06 12080:0.0097202138768
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2236:0.025305664966 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 747:0.0249828562803 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10949:0.0258536417687 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7206:0.023878784567 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
-1 2859:0.380048007896 5740:0.0774107859827 12054:9.95480926613e-07
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11567:0.0256527338521 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 11925:0.0230252845495 12054:1.14374404334e-06 12080:0.00977191714211
-1 208:0.217170290226 2421:0.0963217618894 2934:0.114535240823 3438:0.217170290226 4062:0.217170290226 4966:0.144860102613 5740:0.0442347348473 6390:0.217170290226 7024:0.194450230478 7594:0.217170290226 10584:0.171730170729 12054:5.68846243779e-07
+1 44:0.00864666459201 57:0.01381270355 109:0.0107129437834 157:0.0102884879116 174:0.0119958761984 280:0.0188157420848 346:0.00243984897651 608:0.00149189353562 734:0.0112251435448 1152:0.0100947779951 1469:0.00319711244421 1716:0.0124354235298 2053:0.00627565065929 2076:0.00298687550611 2344:0.00422010004119 2501:0.0102667458496 2644:0.00780587653391 2930:0.0121989593955 3046:0.0118410762957 3106:0.0104820558161 3452:0.00120174047985 3530:0.0108342001486 3884:0.0029135046279 3916:0.0114576378421 3966:0.013690448726 3994:0.00299661974425 4051:0.0259226005722 4224:0.00799825129476 4228:0.0111926067108 4304:0.00706836016714 4638:0.0307517176464 4997:0.00642865233678 5070:0.0124914281401 5146:0.0133377534642 5399:0.00193579897853 5415:0.00757538641818 5530:0.00619349333859 5542:0.0128634717322 5974:0.0130861997321 6023:0.0107660513414 6059:0.0136667554205 6067:0.00817287823108 6085:0.00029027627513 6513:0.00237730591478 7225:0.0281600437884 7285:0.0273155009633 7571:0.00811248062003 7573:0.0133174002309 7663:0.0099677650292 7809:0.018870430181 7908:0.01381270355 7967:0.0051879842095 8396:0.011736530083 8544:0.0109916037273 9044:0.00236954909986 9336:0.00974614367323 9412:0.00188926724541 9784:0.00902162241326 10092:0.00791319460408 10111:0.0099759639918 10152:0.0136200856104 10340:0.0137630225593 10382:0.00318699468449 10400:0.0115312720292 10513:0.00412819920739 10521:0.00412251449359 10618:0.00953946930143 10944:0.0108620327387 10972:0.00393257799577 11025:0.00491269677095 11092:0.00867365178014 11183:0.0122367271636 11806:0.00371449691571 11878:0.0130738976289 12054:1.14374404334e-06 12080:0.00977191714211
